,id,Temperature,Light,CO2,HumidityRatio,value
0,0,22.315,461.5,548.0,0.0044250201495211715,1
1,1,22.29,454.0,546.25,0.00441824526980057,1
2,2,22.323333333333306,454.0,542.666666666667,0.0044356775640082,1
3,3,22.29,454.0,543.333333333333,0.00442662509816911,1
4,4,22.315,450.25,551.75,0.00443341291835053,1
5,5,22.29,439.0,555.0,0.00443500515074077,1
6,6,22.29,439.0,552.75,0.00443500515074077,1
7,7,22.29,439.0,555.0,0.00445092786833875,1
8,8,22.29,439.0,554.0,0.00445847049077861,1
9,9,22.29,439.0,556.5,0.00446266091506117,1
10,10,22.29,439.0,565.0,0.00445847049077861,1
11,11,22.2675,439.0,561.75,0.00446487907572183,1
12,12,22.2675,439.0,570.25,0.0044782705524413,1
13,13,22.23,439.0,576.0,0.00446492296591114,1
14,14,22.26,439.0,577.333333333333,0.00447927927201729,1
15,15,22.29,439.0,577.75,0.0044978626924110105,1
16,16,22.245,444.25,577.666666666667,0.0044938287492866606,1
17,17,22.2,453.0,582.75,0.00447449676895718,1
18,18,22.2225,449.5,584.25,0.00448763212130289,1
19,19,22.2225,445.5,585.0,0.00449597943414763,1
20,20,22.2,441.5,591.75,0.00448561086271465,1
21,21,22.2,441.75,596.25,0.00448561086271465,1
22,22,22.2,434.0,602.0,0.00448561086271465,1
23,23,22.2,434.0,605.75,0.00449811468956496,1
24,24,22.2,444.0,605.0,0.00449672535082264,1
25,25,22.2,439.0,596.5,0.0045060340380626,1
26,26,22.2,444.0,593.5,0.00451728819349999,1
27,27,22.2,444.0,595.0,0.004509785378283939,1
28,28,22.1666666666667,444.0,596.0,0.00449807612586088,1
29,29,22.175,444.0,594.25,0.00451036492893207,1
30,30,22.1333333333333,444.0,596.333333333333,0.00450438185755505,1
31,31,22.1,444.0,599.75,0.00450207929588443,1
32,32,22.15,444.0,602.0,0.00452007314978391,1
33,33,22.15,444.0,603.0,0.0045288001178940785,1
34,34,22.1,444.0,600.0,0.00453688041724203,1
35,35,22.1,444.0,599.0,0.00452445100150358,1
36,36,22.1,444.0,599.25,0.00452445100150358,1
37,37,22.1,444.0,596.5,0.00452445100150358,1
38,38,22.1,444.0,597.25,0.00452445100150358,1
